IDENT,LATITUDE,LONGITUDE 
STARS,14° 8' 37.91" N,100° 44' 18.24" E
STARY,14° 35' 54.37" N,101° 34' 48.08" E
STONE,8° 17' 51.06" N,98° 27' 16.28" E
SUPIN,8° 34' 34.55" N,101° 4' 19.34" E
SUPOJ,10° 16' 42.14" N,100° 12' 20.33" E
SURIX,10° 59' 59.08" N,101° 50' 14.56" E
SUWAN,8° 3' 19.53" N,101° 20' 18.05" E
SYNDY,14° 4' 9.19" N,100° 41' 45.45" E
TAKAN,15° 22' 13.62" N,105° 1' 40.11" E
TAKGO,16° 47' 48.35" N,100° 4' 1.69" E
TARIS,8° 36' 41.04" N,98° 23' 6.95" E
TATEL,17° 29' 4.83" N,98° 45' 48.77" E
TEAKY,15° 16' 28.20" N,100° 3' 27.69" E
TEGER,15° 9' 47.53" N,102° 37' 40.85" E
THANI,15° 12' 44.77" N,104° 37' 36.43" E
THIWA,6° 37' 23.72" N,101° 31' 36.70" E
THUNA,14° 49' 45.57" N,101° 55' 3.97" E
TIGER,13° 51' 51.39" N,100° 34' 46.51" E
TIKAL,8° 2' 19.50" N,101° 44' 47.90" E
TKL02,15° 18' 28.60" N,100° 17' 43.70" E
TKL10,15° 5' 55.77" N,100° 11' 55.63" E
TKL12,15° 16' 15.70" N,100° 5' 31.46" E
TKL19,15° 14' 29.57" N,100° 17' 37.26" E
TKL20,15° 5' 4.51" N,100° 13' 54.24" E
TKL35,15° 27' 18.91" N,100° 12' 29.67" E
TKL45,15° 28' 4.14" N,100° 14' 31.05" E
TONIK,9° 17' 36.12" N,101° 59' 6.78" E
TOPER,14° 35' 5.90" N,102° 43' 47.20" E
UBL24,15° 16' 20.29" N,104° 53' 47.25" E
UBL30,15° 22' 44.71" N,104° 41' 21.12" E
UBL40,15° 24' 51.29" N,105° 0' 25.45" E
UBL46,15° 23' 56.39" N,105° 1' 28.22" E
UBL73,15° 18' 25.83" N,105° 3' 45.81" E
UDN17,17° 11' 1.40" N,102° 46' 43.18" E
UDN21,17° 24' 23.81" N,102° 44' 47.64" E
UDN22,17° 14' 41.82" N,102° 37' 28.88" E
UDN30,17° 30' 38.90" N,102° 36' 44.55" E
UDN32,17° 33' 17.14" N,102° 39' 50.71" E
UDN70,17° 27' 29.50" N,102° 40' 48.60" E
UKERA,12° 2' 7.25" N,100° 1' 9.59" E
UNICK,18° 39' 0.62" N,98° 57' 29.00" E
UPNEP,9° 42' 13.10" N,100° 29' 36.40" E
UTHAI,7° 0' 0.00" N,99° 30' 0.00" E
UTTAR,17° 43' 4.90" N,100° 27' 6.00" E
VIRAT,15° 24' 59.72" N,104° 42' 41.00" E
WANDY,8° 5' 51.98" N,98° 12' 25.25" E
WANTO,16° 44' 51.03" N,100° 30' 57.11" E
YAKUA,17° 44' 14.79" N,101° 30' 51.65" E
ZONYA,13° 55' 11.39" N,100° 43' 29.25" E
ANBOK,18° 36' 34.60" N,101° 12' 47.60" E
BENSA,10° 26' 31.00" N,102° 26' 29.50" E
