IDENT,LATITUDE,LONGITUDE 
TANAY,14° 33' 26.03" N,121° 20' 39.38" E
TAPAP,13° 15' 5.59" N,121° 2' 3.37" E
TAPER,12° 21' 56.68" N,121° 49' 39.11" E
TARA,14° 24' 34.57" N,120° 50' 21.14" E
TAREM,15° 40' 27.40" N,120° 17' 10.31" E
TARTA,15° 2' 8.47" N,121° 7' 19.08" E
TBOLI,6° 8' 7.29" N,124° 52' 51.96" E
TEGID,8° 56' 54.00" N,115° 51' 42.00" E
TELEN,12° 53' 17.80" N,120° 42' 49.68" E
TELMO,9° 58' 9.07" N,118° 51' 34.12" E
TENON,9° 16' 28.04" N,116° 18' 25.25" E
TIKAL,8° 0' 20.40" N,124° 41' 38.20" E
TIMON,14° 3' 9.45" N,121° 56' 22.69" E
TINDO,7° 20' 11.33" N,121° 58' 47.47" E
TINIO,15° 17' 55.38" N,120° 49' 3.45" E
TOKON,11° 42' 1.93" N,119° 40' 28.89" E
TORES,6° 55' 18.08" N,121° 51' 18.82" E
TOSOV,10° 21' 9.83" N,117° 48' 14.06" E
TUBIG,9° 53' 45.17" N,124° 1' 3.53" E
TUBUR,10° 43' 34.12" N,123° 55' 0.84" E
VAVUM,11° 29' 45.01" N,114° 45' 54.68" E
VERDE,13° 30' 13.23" N,121° 1' 54.35" E
VICTA,10° 58' 27.95" N,123° 7' 16.88" E
VILAR,15° 9' 22.60" N,120° 15' 4.08" E
VIMAG,6° 1' 36.00" N,118° 32' 36.00" E
VINIK,8° 38' 30.00" N,116° 13' 48.00" E
VOTAS,14° 42' 38.06" N,120° 53' 4.21" E
ZAM19,06° 55' 28.90" N,122° 01' 25.11" E
ZAM23,06° 55' 17.96" N,122° 02' 09.57" E
ZAM24,06° 46' 18.13" N,121° 59' 14.44" E
ZAM40,06° 51' 27.75" N,122° 03' 19.74" E
ZAM64,06° 55' 18.56" N,121° 57' 07.90" E
ZAM75,06° 55' 28.84" N,121° 55' 47.27" E
ZULU,14° 35' 31.59" N,121° 10' 35.43" E
ZULUR,14° 37' 7.02" N,119° 44' 4.28" E
